Data Table for Daily Case Trends - Idaho
Date generated: Tue Nov 30 2021 20:41:25 GMT-0700 (Mountain Standard Time)
State,Date,New Cases,7-Day Moving Avg,Total Doses Administered
Idaho,May 17 2021,138,164,1239905
Idaho,May 16 2021,137,161,1234883
Idaho,May 15 2021,96,157,1233702
Idaho,May 14 2021,173,160,1230426
Idaho,May 13 2021,149,162,1223712
Idaho,May 12 2021,225,164,1217341
Idaho,May 11 2021,233,161,1211279
Idaho,May 10 2021,114,157,1204712
Idaho,May  9 2021,113,159,1200276
Idaho,May  8 2021,113,160,1198779
Idaho,May  7 2021,187,161,1194901
Idaho,May  6 2021,166,160,1187188
Idaho,May  5 2021,202,166,1178451
Idaho,May  4 2021,209,174,1170850
Idaho,May  3 2021,125,185,1161731
Idaho,May  2 2021,123,219,1155880
Idaho,May  1 2021,120,214,1154256
Idaho,Apr 30 2021,177,210,1149978
Idaho,Apr 29 2021,210,212,1139647
Idaho,Apr 28 2021,255,215,1126314
Idaho,Apr 27 2021,289,221,1116837
Idaho,Apr 26 2021,360,214,1106136
Idaho,Apr 25 2021,91,195,1098676
Idaho,Apr 24 2021,91,189,1097335
Idaho,Apr 23 2021,190,202,1091820
Idaho,Apr 22 2021,234,205,1080519
Idaho,Apr 21 2021,294,201,1065999
Idaho,Apr 20 2021,238,222,1054022
Idaho,Apr 19 2021,227,219,1042490
Idaho,Apr 18 2021,52,232,1033176
Idaho,Apr 17 2021,179,224,1031140
Idaho,Apr 16 2021,212,230,1024007
Idaho,Apr 15 2021,210,245,1010787
Idaho,Apr 14 2021,437,259,995991
Idaho,Apr 13 2021,219,246,981295
Idaho,Apr 12 2021,317,265,967260
Idaho,Apr 11 2021,0,313,961732
Idaho,Apr 10 2021,221,313,959345
Idaho,Apr  9 2021,312,281,951293
Idaho,Apr  8 2021,310,277,934593
Idaho,Apr  7 2021,349,285,914927
Idaho,Apr  6 2021,346,300,898245
Idaho,Apr  5 2021,655,296,881298
Idaho,Apr  4 2021,0,250,868428
Idaho,Apr  3 2021,0,250,866997
Idaho,Apr  2 2021,284,282,857617
Idaho,Apr  1 2021,361,287,841220
Idaho,Mar 31 2021,460,283,822977
Idaho,Mar 30 2021,313,279,807512
Idaho,Mar 29 2021,335,286,791930
Idaho,Mar 28 2021,0,286,780169
Idaho,Mar 27 2021,224,286,777212
Idaho,Mar 26 2021,317,288,768578
Idaho,Mar 25 2021,333,297,752976
Idaho,Mar 24 2021,435,299,735873
Idaho,Mar 23 2021,359,301,720266
Idaho,Mar 22 2021,340,300,706037
Idaho,Mar 21 2021,0,312,696276
Idaho,Mar 20 2021,235,312,692891
Idaho,Mar 19 2021,383,320,681109
Idaho,Mar 18 2021,341,313,664833
Idaho,Mar 17 2021,454,316,645227
Idaho,Mar 16 2021,350,316,628484
Idaho,Mar 15 2021,421,335,613822
Idaho,Mar 14 2021,0,329,602248
Idaho,Mar 13 2021,293,329,598637
Idaho,Mar 12 2021,333,302,587825
Idaho,Mar 11 2021,364,289,571472
Idaho,Mar 10 2021,456,279,557134
Idaho,Mar  9 2021,481,279,543887
Idaho,Mar  8 2021,378,263,531500
Idaho,Mar  7 2021,0,255,521580
Idaho,Mar  6 2021,104,255,516577
Idaho,Mar  5 2021,240,274,505114
Idaho,Mar  4 2021,299,284,491076
Idaho,Mar  3 2021,452,285,478174
Idaho,Mar  2 2021,374,281,464431
Idaho,Mar  1 2021,322,268,451949
Idaho,Feb 28 2021,0,284,441979
Idaho,Feb 27 2021,233,284,437738
Idaho,Feb 26 2021,312,279,426668
Idaho,Feb 25 2021,306,279,411770
Idaho,Feb 24 2021,423,276,398387
Idaho,Feb 23 2021,282,274,387077
Idaho,Feb 22 2021,434,300,377416
Idaho,Feb 21 2021,0,238,370009
Idaho,Feb 20 2021,197,238,365689
Idaho,Feb 19 2021,314,246,356621
Idaho,Feb 18 2021,286,251,344362
Idaho,Feb 17 2021,408,257,332295
Idaho,Feb 16 2021,462,264,322826
Idaho,Feb 15 2021,0,260,313088
Idaho,Feb 14 2021,0,324,303933
Idaho,Feb 13 2021,258,324,301066
Idaho,Feb 12 2021,349,322,293450
Idaho,Feb 11 2021,323,330,279254
Idaho,Feb 10 2021,458,341,267830
Idaho,Feb  9 2021,437,348,255474
Idaho,Feb  8 2021,449,356,246612
Idaho,Feb  7 2021,0,360,238504
Idaho,Feb  6 2021,240,360,235619
Idaho,Feb  5 2021,404,373,227071
Idaho,Feb  4 2021,402,406,214985
Idaho,Feb  3 2021,507,421,203875
Idaho,Feb  2 2021,491,437,193211
Idaho,Feb  1 2021,482,447,184065
Idaho,Jan 31 2021,0,453,175451
Idaho,Jan 30 2021,328,479,174103
Idaho,Jan 29 2021,635,508,170442
Idaho,Jan 28 2021,508,502,161073
Idaho,Jan 27 2021,620,517,153100
Idaho,Jan 26 2021,559,544,145099
Idaho,Jan 25 2021,527,639,138291
Idaho,Jan 24 2021,181,564,132683
Idaho,Jan 23 2021,527,578,130828
Idaho,Jan 22 2021,598,777,125536
Idaho,Jan 21 2021,612,691,117170
Idaho,Jan 20 2021,810,746,110587
Idaho,Jan 19 2021,1224,786,102567
Idaho,Jan 18 2021,0,759,96847
Idaho,Jan 17 2021,278,841,92672
Idaho,Jan 16 2021,1918,863,90236
Idaho,Jan 15 2021,0,728,86469
Idaho,Jan 14 2021,994,883,77784
Idaho,Jan 13 2021,1091,894,72978
Idaho,Jan 12 2021,1034,918,67702
Idaho,Jan 11 2021,572,990,62096
Idaho,Jan 10 2021,432,1022,56221
Idaho,Jan  9 2021,977,1005,54845
Idaho,Jan  8 2021,1085,1025,52578
Idaho,Jan  7 2021,1067,870,44787
Idaho,Jan  6 2021,1263,891,39708
Idaho,Jan  5 2021,1538,902,35024
Idaho,Jan  4 2021,798,899,31339
Idaho,Jan  3 2021,308,898,29254
Idaho,Jan  2 2021,1122,916,29040
Idaho,Jan  1 2021,0,834,28290
Idaho,Dec 31 2020,1213,834,27940
Idaho,Dec 30 2020,1340,839,25452
Idaho,Dec 29 2020,1514,847,21992
Idaho,Dec 28 2020,795,876,18332
Idaho,Dec 27 2020,428,893,16209
Idaho,Dec 26 2020,554,959,15932
Idaho,Dec 25 2020,0,1002,15417
Idaho,Dec 24 2020,1248,1193,15405
Idaho,Dec 23 2020,1391,1219,14358
Idaho,Dec 22 2020,1717,1225,11177
Idaho,Dec 21 2020,917,1237,8653
Idaho,Dec 20 2020,891,1254,7159
Idaho,Dec 19 2020,851,1205,6361
Idaho,Dec 18 2020,1340,1229,4373
Idaho,Dec 17 2020,1426,1264,1787
Idaho,Dec 16 2020,1433,1321,1301
Idaho,Dec 15 2020,1802,1444,555
Idaho,Dec 14 2020,1038,1474,295
Idaho,Dec 13 2020,547,1524,203
Idaho,Dec 12 2020,1022,1561,N/A
Idaho,Dec 11 2020,1582,1606,N/A
Idaho,Dec 10 2020,1825,1653,N/A
Idaho,Dec  9 2020,2298,1638,N/A
Idaho,Dec  8 2020,2012,1514,N/A
Idaho,Dec  7 2020,1383,1456,N/A
Idaho,Dec  6 2020,805,1432,N/A
Idaho,Dec  5 2020,1339,1435,N/A
Idaho,Dec  4 2020,1911,1409,N/A
Idaho,Dec  3 2020,1721,1343,N/A
Idaho,Dec  2 2020,1429,1175,N/A
Idaho,Dec  1 2020,1607,1225,N/A
Idaho,Nov 30 2020,1214,1229,N/A
Idaho,Nov 29 2020,824,1261,N/A
Idaho,Nov 28 2020,1160,1260,N/A
Idaho,Nov 27 2020,1446,1248,N/A
Idaho,Nov 26 2020,551,1296,N/A
Idaho,Nov 25 2020,1773,1438,N/A
Idaho,Nov 24 2020,1640,1372,N/A
Idaho,Nov 23 2020,1437,1392,N/A
Idaho,Nov 22 2020,819,1344,N/A
Idaho,Nov 21 2020,1070,1359,N/A
Idaho,Nov 20 2020,1786,1423,N/A
Idaho,Nov 19 2020,1543,1385,N/A
Idaho,Nov 18 2020,1310,1330,N/A
Idaho,Nov 17 2020,1781,1385,N/A
Idaho,Nov 16 2020,1099,1302,N/A
Idaho,Nov 15 2020,928,1326,N/A
Idaho,Nov 14 2020,1519,1286,N/A
Idaho,Nov 13 2020,1519,1269,N/A
Idaho,Nov 12 2020,1158,1242,N/A
Idaho,Nov 11 2020,1693,1258,N/A
Idaho,Nov 10 2020,1201,1200,N/A
Idaho,Nov  9 2020,1266,1197,N/A
Idaho,Nov  8 2020,649,1124,N/A
Idaho,Nov  7 2020,1403,1100,N/A
Idaho,Nov  6 2020,1330,1014,N/A
Idaho,Nov  5 2020,1265,976,N/A
Idaho,Nov  4 2020,1290,932,N/A
Idaho,Nov  3 2020,1179,871,N/A
Idaho,Nov  2 2020,757,829,N/A
Idaho,Nov  1 2020,480,820,N/A
Idaho,Oct 31 2020,798,844,N/A
Idaho,Oct 30 2020,1064,876,N/A
Idaho,Oct 29 2020,961,878,N/A
Idaho,Oct 28 2020,862,876,N/A
Idaho,Oct 27 2020,882,894,N/A
Idaho,Oct 26 2020,697,893,N/A
Idaho,Oct 25 2020,650,893,N/A
Idaho,Oct 24 2020,1021,873,N/A
Idaho,Oct 23 2020,1073,852,N/A
Idaho,Oct 22 2020,950,855,N/A
Idaho,Oct 21 2020,987,822,N/A
Idaho,Oct 20 2020,873,773,N/A
Idaho,Oct 19 2020,698,732,N/A
Idaho,Oct 18 2020,510,718,N/A
Idaho,Oct 17 2020,878,697,N/A
Idaho,Oct 16 2020,1094,659,N/A
Idaho,Oct 15 2020,718,597,N/A
Idaho,Oct 14 2020,645,591,N/A
Idaho,Oct 13 2020,584,595,N/A
Idaho,Oct 12 2020,597,605,N/A
Idaho,Oct 11 2020,365,586,N/A
Idaho,Oct 10 2020,613,571,N/A
Idaho,Oct  9 2020,662,550,N/A
Idaho,Oct  8 2020,673,552,N/A
Idaho,Oct  7 2020,671,529,N/A
Idaho,Oct  6 2020,660,521,N/A
Idaho,Oct  5 2020,458,499,N/A
Idaho,Oct  4 2020,262,494,N/A
Idaho,Oct  3 2020,464,486,N/A
Idaho,Oct  2 2020,677,497,N/A
Idaho,Oct  1 2020,513,475,N/A
Idaho,Sep 30 2020,614,472,N/A
Idaho,Sep 29 2020,511,441,N/A
Idaho,Sep 28 2020,422,431,N/A
Idaho,Sep 27 2020,205,430,N/A
Idaho,Sep 26 2020,539,435,N/A
Idaho,Sep 25 2020,523,399,N/A
Idaho,Sep 24 2020,491,392,N/A
Idaho,Sep 23 2020,396,378,N/A
Idaho,Sep 22 2020,446,362,N/A
Idaho,Sep 21 2020,410,338,N/A
Idaho,Sep 20 2020,244,316,N/A
Idaho,Sep 19 2020,288,297,N/A
Idaho,Sep 18 2020,470,287,N/A
Idaho,Sep 17 2020,396,267,N/A
Idaho,Sep 16 2020,283,254,N/A
Idaho,Sep 15 2020,278,261,N/A
Idaho,Sep 14 2020,253,255,N/A
Idaho,Sep 13 2020,112,230,N/A
Idaho,Sep 12 2020,217,241,N/A
Idaho,Sep 11 2020,333,250,N/A
Idaho,Sep 10 2020,307,241,N/A
Idaho,Sep  9 2020,329,235,N/A
Idaho,Sep  8 2020,240,230,N/A
Idaho,Sep  7 2020,74,236,N/A
Idaho,Sep  6 2020,190,257,N/A
Idaho,Sep  5 2020,281,257,N/A
Idaho,Sep  4 2020,269,258,N/A
Idaho,Sep  3 2020,263,257,N/A
Idaho,Sep  2 2020,296,269,N/A
Idaho,Sep  1 2020,280,271,N/A
Idaho,Aug 31 2020,221,288,N/A
Idaho,Aug 30 2020,190,287,N/A
Idaho,Aug 29 2020,293,287,N/A
Idaho,Aug 28 2020,262,287,N/A
Idaho,Aug 27 2020,342,286,N/A
Idaho,Aug 26 2020,315,297,N/A
Idaho,Aug 25 2020,395,305,N/A
Idaho,Aug 24 2020,217,304,N/A
Idaho,Aug 23 2020,191,313,N/A
Idaho,Aug 22 2020,293,312,N/A
Idaho,Aug 21 2020,249,313,N/A
Idaho,Aug 20 2020,424,355,N/A
Idaho,Aug 19 2020,370,366,N/A
Idaho,Aug 18 2020,384,390,N/A
Idaho,Aug 17 2020,282,406,N/A
Idaho,Aug 16 2020,183,427,N/A
Idaho,Aug 15 2020,304,426,N/A
Idaho,Aug 14 2020,542,464,N/A
Idaho,Aug 13 2020,498,461,N/A
Idaho,Aug 12 2020,538,489,N/A
Idaho,Aug 11 2020,495,480,N/A
Idaho,Aug 10 2020,429,489,N/A
Idaho,Aug  9 2020,176,475,N/A
Idaho,Aug  8 2020,573,483,N/A
Idaho,Aug  7 2020,523,457,N/A
Idaho,Aug  6 2020,692,450,N/A
Idaho,Aug  5 2020,473,432,N/A
Idaho,Aug  4 2020,559,430,N/A
Idaho,Aug  3 2020,331,425,N/A
Idaho,Aug  2 2020,230,452,N/A
Idaho,Aug  1 2020,393,469,N/A
Idaho,Jul 31 2020,475,493,N/A
Idaho,Jul 30 2020,567,501,N/A
Idaho,Jul 29 2020,457,479,N/A
Idaho,Jul 28 2020,528,485,N/A
Idaho,Jul 27 2020,517,489,N/A
Idaho,Jul 26 2020,350,472,N/A
Idaho,Jul 25 2020,563,503,N/A
Idaho,Jul 24 2020,528,501,N/A
Idaho,Jul 23 2020,414,514,N/A
Idaho,Jul 22 2020,500,553,N/A
Idaho,Jul 21 2020,556,586,N/A
Idaho,Jul 20 2020,393,552,N/A
Idaho,Jul 19 2020,571,567,N/A
Idaho,Jul 18 2020,550,542,N/A
Idaho,Jul 17 2020,619,546,N/A
Idaho,Jul 16 2020,688,529,N/A
Idaho,Jul 15 2020,727,496,N/A
Idaho,Jul 14 2020,316,454,N/A
Idaho,Jul 13 2020,500,478,N/A
Idaho,Jul 12 2020,397,452,N/A
Idaho,Jul 11 2020,577,447,N/A
Idaho,Jul 10 2020,500,419,N/A
Idaho,Jul  9 2020,459,405,N/A
Idaho,Jul  8 2020,430,371,N/A
Idaho,Jul  7 2020,487,346,N/A
Idaho,Jul  6 2020,319,328,N/A
Idaho,Jul  5 2020,363,344,N/A
Idaho,Jul  4 2020,376,293,N/A
Idaho,Jul  3 2020,401,263,N/A
Idaho,Jul  2 2020,223,246,N/A
Idaho,Jul  1 2020,253,246,N/A
Idaho,Jun 30 2020,365,245,N/A
Idaho,Jun 29 2020,433,214,N/A
Idaho,Jun 28 2020,0,187,N/A
Idaho,Jun 27 2020,171,187,N/A
Idaho,Jun 26 2020,283,182,N/A
Idaho,Jun 25 2020,220,160,N/A
Idaho,Jun 24 2020,243,144,N/A
Idaho,Jun 23 2020,148,123,N/A
Idaho,Jun 22 2020,248,113,N/A
Idaho,Jun 21 2020,0,86,N/A
Idaho,Jun 20 2020,135,86,N/A
Idaho,Jun 19 2020,128,74,N/A
Idaho,Jun 18 2020,111,63,N/A
Idaho,Jun 17 2020,92,53,N/A
Idaho,Jun 16 2020,78,45,N/A
Idaho,Jun 15 2020,63,39,N/A
Idaho,Jun 14 2020,0,37,N/A
Idaho,Jun 13 2020,46,37,N/A
Idaho,Jun 12 2020,51,34,N/A
Idaho,Jun 11 2020,42,35,N/A
Idaho,Jun 10 2020,40,38,N/A
Idaho,Jun  9 2020,31,41,N/A
Idaho,Jun  8 2020,50,40,N/A
Idaho,Jun  7 2020,0,42,N/A
Idaho,Jun  6 2020,28,42,N/A
Idaho,Jun  5 2020,57,44,N/A
Idaho,Jun  4 2020,64,40,N/A
Idaho,Jun  3 2020,57,37,N/A
Idaho,Jun  2 2020,27,33,N/A
Idaho,Jun  1 2020,67,31,N/A
Idaho,May 31 2020,0,30,N/A
Idaho,May 30 2020,36,30,N/A
Idaho,May 29 2020,34,29,N/A
Idaho,May 28 2020,38,33,N/A
Idaho,May 27 2020,32,32,N/A
Idaho,May 26 2020,15,31,N/A
Idaho,May 25 2020,58,32,N/A
Idaho,May 24 2020,0,29,N/A
Idaho,May 23 2020,31,29,N/A
Idaho,May 22 2020,61,29,N/A
Idaho,May 21 2020,28,26,N/A
Idaho,May 20 2020,30,26,N/A
Idaho,May 19 2020,21,26,N/A
Idaho,May 18 2020,36,27,N/A
Idaho,May 17 2020,0,27,N/A
Idaho,May 16 2020,30,27,N/A
Idaho,May 15 2020,38,26,N/A
Idaho,May 14 2020,27,24,N/A
Idaho,May 13 2020,31,23,N/A
Idaho,May 12 2020,33,23,N/A
Idaho,May 11 2020,30,22,N/A
Idaho,May 10 2020,0,24,N/A
Idaho,May  9 2020,25,24,N/A
Idaho,May  8 2020,27,24,N/A
Idaho,May  7 2020,20,23,N/A
Idaho,May  6 2020,31,24,N/A
Idaho,May  5 2020,21,25,N/A
Idaho,May  4 2020,45,27,N/A
Idaho,May  3 2020,0,23,N/A
Idaho,May  2 2020,26,24,N/A
Idaho,May  1 2020,20,23,N/A
Idaho,Apr 30 2020,31,25,N/A
Idaho,Apr 29 2020,32,26,N/A
Idaho,Apr 28 2020,35,26,N/A
Idaho,Apr 27 2020,20,25,N/A
Idaho,Apr 26 2020,10,32,N/A
Idaho,Apr 25 2020,17,31,N/A
Idaho,Apr 24 2020,34,30,N/A
Idaho,Apr 23 2020,34,32,N/A
Idaho,Apr 22 2020,36,30,N/A
Idaho,Apr 21 2020,30,40,N/A
Idaho,Apr 20 2020,64,35,N/A
Idaho,Apr 19 2020,4,30,N/A
Idaho,Apr 18 2020,13,37,N/A
Idaho,Apr 17 2020,46,37,N/A
Idaho,Apr 16 2020,22,36,N/A
Idaho,Apr 15 2020,101,50,N/A
Idaho,Apr 14 2020,0,39,N/A
Idaho,Apr 13 2020,28,45,N/A
Idaho,Apr 12 2020,51,51,N/A
Idaho,Apr 11 2020,11,47,N/A
Idaho,Apr 10 2020,43,54,N/A
Idaho,Apr  9 2020,121,66,N/A
Idaho,Apr  8 2020,22,80,N/A
Idaho,Apr  7 2020,40,97,N/A
Idaho,Apr  6 2020,69,107,N/A
Idaho,Apr  5 2020,24,113,N/A
Idaho,Apr  4 2020,64,116,N/A
Idaho,Apr  3 2020,122,111,N/A
Idaho,Apr  2 2020,222,100,N/A
Idaho,Apr  1 2020,144,78,N/A
Idaho,Mar 31 2020,110,64,N/A
Idaho,Mar 30 2020,105,52,N/A
Idaho,Mar 29 2020,49,37,N/A
Idaho,Mar 28 2020,31,31,N/A
Idaho,Mar 27 2020,41,28,N/A
Idaho,Mar 26 2020,66,23,N/A
Idaho,Mar 25 2020,52,16,N/A
Idaho,Mar 24 2020,20,9,N/A
Idaho,Mar 23 2020,4,6,N/A
Idaho,Mar 22 2020,5,6,N/A
Idaho,Mar 21 2020,11,5,N/A
Idaho,Mar 20 2020,8,4,N/A
Idaho,Mar 19 2020,13,3,N/A
Idaho,Mar 18 2020,5,1,N/A
Idaho,Mar 17 2020,0,0,N/A
Idaho,Mar 16 2020,0,0,N/A
Idaho,Mar 15 2020,4,0,N/A
Idaho,Mar 14 2020,1,0,N/A
Idaho,Mar 13 2020,0,0,N/A
Idaho,Mar 12 2020,0,0,N/A
Idaho,Mar 11 2020,0,0,N/A
